trial_code,code,number,name,rhythm,harmony,condition,block,trigger
172,60,33,Son Clave MR1 MH4,medium,medium,pleasure,main,14
173,61,41,Rumba Clave MR2 MH2,medium,medium,pleasure,main,15
174,62,42,Rumba Clave MR2 MH4,medium,medium,pleasure,main,15
175,63,50,Mariato Clave MR5 MH2,medium,medium,pleasure,main,16
176,64,51,Mariato Clave MR5 MH4,medium,medium,pleasure,main,16
177,65,34,Son Clave MR1 HH3,medium,high,pleasure,main,24
178,66,35,Son Clave MR1 HH5,medium,high,pleasure,main,24
179,67,43,Rumba Clave MR2 HH3,medium,high,pleasure,main,25
180,68,44,Rumba Clave MR2 HH5,medium,high,pleasure,main,25
181,69,52,Mariato Clave MR5 HH3,medium,high,pleasure,main,26
182,70,53,Mariato Clave MR5 HH5,medium,high,pleasure,main,26
183,71,34,Son Clave MR1 HH3,medium,high,pleasure,main,24
184,72,35,Son Clave MR1 HH5,medium,high,pleasure,main,24
185,73,43,Rumba Clave MR2 HH3,medium,high,pleasure,main,25
186,74,44,Rumba Clave MR2 HH5,medium,high,pleasure,main,25
187,75,52,Mariato Clave MR5 HH3,medium,high,pleasure,main,26
188,76,53,Mariato Clave MR5 HH5,medium,high,pleasure,main,26
189,77,55,HR1 LH2,high,low,pleasure,main,7
190,78,56,HR1 LH3,high,low,pleasure,main,7
191,79,64,HR3 LH2,high,low,pleasure,main,8
192,80,65,HR3 LH3,high,low,pleasure,main,8
193,81,73,HR7 LH2,high,low,pleasure,main,9
194,82,74,HR7 LH3,high,low,pleasure,main,9
195,83,55,HR1 LH2,high,low,pleasure,main,7
196,84,56,HR1 LH3,high,low,pleasure,main,7
197,85,64,HR3 LH2,high,low,pleasure,main,8
198,86,65,HR3 LH3,high,low,pleasure,main,8
199,87,73,HR7 LH2,high,low,pleasure,main,9
200,88,74,HR7 LH3,high,low,pleasure,main,9
201,89,59,HR1 MH2,high,medium,pleasure,main,17
202,90,60,HR1 MH4,high,medium,pleasure,main,17
203,91,68,HR3 MH2,high,medium,pleasure,main,18
204,92,69,HR3 MH4,high,medium,pleasure,main,18
205,93,77,HR7 MH2,high,medium,pleasure,main,19
206,94,78,HR7 MH4,high,medium,pleasure,main,19
207,95,59,HR1 MH2,high,medium,pleasure,main,17
208,96,60,HR1 MH4,high,medium,pleasure,main,17
209,97,68,HR3 MH2,high,medium,pleasure,main,18
210,98,69,HR3 MH4,high,medium,pleasure,main,18
211,99,77,HR7 MH2,high,medium,pleasure,main,19
212,100,78,HR7 MH4,high,medium,pleasure,main,19
213,101,61,HR1 HH3,high,high,pleasure,main,27
214,102,62,HR1 HH5,high,high,pleasure,main,27
215,103,70,HR3 HH3,high,high,pleasure,main,28
216,104,71,HR3 HH5,high,high,pleasure,main,28
217,105,79,HR7 HH3,high,high,pleasure,main,29
218,106,80,HR7 HH5,high,high,pleasure,main,29
219,107,61,HR1 HH3,high,high,pleasure,main,27
220,108,62,HR1 HH5,high,high,pleasure,main,27
221,109,70,HR3 HH3,high,high,pleasure,main,28
222,110,71,HR3 HH5,high,high,pleasure,main,28
223,111,79,HR7 HH3,high,high,pleasure,main,29
224,112,80,HR7 HH5,high,high,pleasure,main,29
